차종,가격,연식,배기량,주행거리,색상,변속기,연료,선루프,LED헤드램프,어댑티드헤드램프,가죽시트,열선시트(앞좌석),통풍시트,후방센서,스마트키,네비게이션(순정),네비게이션(비순정),전손유무,소유자 이전 횟수,침수유무
제네시스 GV80 3.5 터보 AWD 5인승,,2023.01,"3,470 cc (380마력)","9,000 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
현대 캐스퍼 1.0 디 에센셜,,2023.05,998 cc (76마력),"10,000 km",흰색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
현대 더 뉴 싼타페 2.2 디젤 4WD 프리미엄 초이스 5인승,,2020.08,"2,151 cc (202마력)","76,879 km",흰색,자동,디젤,1,1,0,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 디 올 뉴 스포티지 2.0 디젤 2WD 프레스티지,,2024.02,"1,998 cc (184마력)",10 km,흰색,자동,디젤,0,0,0,1,0,0,0,1,1,0,,,
현대 더 뉴 아반떼  1.6 모던,,2024.01,"1,598 cc (123마력)","3,000 km",흰색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
기아 디 올 뉴 스포티지 2.0 디젤 2WD 노블레스,,2021.11,"1,998 cc (184마력)","41,000 km",청색,자동,디젤,1,1,0,1,1,1,1,1,1,0,,,
기아 더 K9 3.8 AWD 베스트 셀렉션Ⅰ,,2020.08,"3,778 cc (315마력)","29,000 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
현대 팰리세이드 3.8 가솔린 4WD VIP,,2022.03,"3,778 cc (295마력)","25,000 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
기아 K7 프리미어 3.0 LPi   트렌디,"2,229만원",2019.1,"2,999 cc (235마력)","78,492 km",흰색,자동,LPG,0,0,0,0,0,0,0,0,0,0,,,
KG모빌리티 코란도 C 2.0 디젤 2WD 클러비,229만원,2011.03,"1,998 cc (181마력)","142,000 km",은색,자동,디젤,1,0,0,1,1,0,0,0,0,0,,,
현대 아이오닉5 롱레인지 AWD  프레스티지,"3,570만원",2021.08,111 cc (305마력),"63,964 km",진회색,자동,전기,,,,,,,,,,,,,
GM대우 마티즈 크리에이티브 1.0 재즈 일반형,119만원,2009.1,995 cc (70마력),"189,000 km",파란색,자동,가솔린,0,0,0,0,0,0,1,0,0,0,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"4,870만원",2022.12,"2,497 cc (304마력)","34,141 km",검정색,자동,가솔린,,,,,,,,,,,,,
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,"1,180만원",2015.03,"2,199 cc (202마력)","197,000 km",흰색,자동,디젤,0,0,0,1,1,1,1,1,0,1,,,
현대 쏠라티  캠핑카 럭셔리 4인승,"7,900만원",2017.11,"2,497 cc (170마력)","29,470 km",흰색,자동,디젤,0,0,0,1,1,0,0,0,1,0,,,
현대 제네시스 BH330 그랜드,359만원,2009.09,"3,342 cc (262마력)","154,000 km",검정색,자동,가솔린,0,0,0,1,1,0,1,0,0,0,,,
현대 아이오닉5 롱레인지  익스클루시브,"2,999만원",2021.06,111 cc (217마력),"70,000 km",검정색,자동,전기,,,,,,,,,,,,,
르노코리아 QM3 1.5 디젤 LE,429만원,2015.01,"1,461 cc (90마력)","152,000 km",검정투톤,자동,디젤,0,0,0,0,1,0,0,0,0,0,,,
제네시스 더 올 뉴 G80 2.5 터보,"4,150만원",2020.06,"2,497 cc (304마력)","99,564 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
제네시스 G70  2.2 디젤 AWD 슈프림,"2,490만원",2018.03,"2,199 cc (202마력)","77,000 km",흰색,자동,디젤,,,,,,,,,,,,,
쉐보레 캡티바 2.0 디젤 2WD  LT,199만원,2011.07,"2,231 cc (184마력)","156,000 km",진주투톤,자동,디젤,1,0,0,1,1,0,1,0,0,1,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"3,599만원",2021.03,"2,497 cc (304마력)","102,686 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
현대 그랜저HG 300 LPi 프리미엄,680만원,2012.06,"2,999 cc (235마력)","128,383 km",회색,자동,LPG,0,1,0,1,1,1,1,1,0,1,,,
기아 더 프레스티지 K7 3.0 LPi 디럭스,390만원,2011.04,"2,999 cc (235마력)","215,713 km",검정색,자동,LPG,0,0,0,1,1,0,1,0,0,1,,,
현대 포터2 내장탑차,530만원,2013.01,"2,497 cc ()","103,685 km",흰색,자동,디젤,0,0,0,1,0,0,1,0,0,0,,,
르노코리아 QM3 1.5 디젤 LE,530만원,2014.06,"1,461 cc (90마력)","133,880 km",베이지색,자동,디젤,0,0,0,0,1,0,1,1,0,1,,,
기아 올 뉴 모닝 1.0 스마트,260만원,2013.05,998 cc (),"117,521 km",은색,자동,가솔린,0,0,0,1,0,0,0,0,0,0,,,
쉐보레 말리부 2.0 LTZ 디럭스팩,490만원,2011.11,"1,998 cc (141마력)","108,703 km",흰색,자동,가솔린,1,0,1,1,0,0,1,1,0,1,,,
현대 제네시스 BH330 럭셔리,329만원,2009.11,"3,342 cc (262마력)","185,000 km",회색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
르노삼성 SM7 뉴 아트 2.3 프레스티지,190만원,2009.07,"2,349 cc (170마력)","126,000 km",은색,자동,가솔린,1,0,0,1,1,0,1,0,0,0,전손: 0 , 4회, 침수분손 : 0 
제네시스 더 올 뉴 G80 2.5 터보 AWD,"3,499만원",2020.07,"2,497 cc (304마력)","132,083 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
현대 그랜저HG 240 럭셔리,599만원,2011.06,"2,359 cc (201마력)","113,000 km",흰색,자동,가솔린,0,0,0,1,0,0,1,1,1,0,,,
현대 팰리세이드 3.8 가솔린 2WD  프레스티지,,2023.11,"3,778 cc (295마력)",10 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 2.5 터보 AWD 5인승,,2023.09,"2,497 cc (304마력)",10 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
현대 캐스퍼 1.0  디 에센셜,,2024.01,998 cc (76마력),10 km,기타색상,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
현대 더 뉴 그랜저 3.3  익스클루시브,,2023.11,"3,470 cc (290마력)",10 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  노블레스,,2023.11,"1,598 cc (230마력)",10 km,검정색,자동,가솔린 하이브리드,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
쉐보레 올란도 2.0 디젤 LT 프리미엄,279만원,2012.01,"1,998 cc (163마력)","168,000 km",진회색,자동,디젤,0,0,0,1,0,0,1,0,0,0,,,
기아 카니발 4세대 3.5 가솔린 7인승 하이리무진  시그니처,,2024.03,"3,470 cc (294마력)",300 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대 3.5 가솔린 7인승 하이리무진 시그니처,,2024.03,"3,470 cc (294마력)",300 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 2.5 터보 AWD  5인승,,2024.03,"2,497 cc (304마력)",15 km,흰색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 2.5 터보  5인승,,2024.02,"2,497 cc (304마력)",250 km,흰색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
제네시스 더 올 뉴 G80 2.5 터보,,2023.04,"2,497 cc (304마력)","17,963 km",흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 2.5 터보  5인승,,2023.1,"2,497 cc (304마력)",10 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  시그니처,,2023.12,"1,598 cc (230마력)",10 km,흰색,자동,가솔린 하이브리드,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV70 2.5 터보 AWD,,2023.07,"2,497 cc (304마력)",10 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 2.5 터보  5인승,,2023.04,"2,497 cc (304마력)","4,400 km",검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 더 올 뉴 G80 2.5 터보,,2023.08,"2,497 cc (304마력)",7 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 2.5 터보 AWD 5인승,,2023.11,"2,497 cc (304마력)",10 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV70 2.5 터보 AWD,,2023.11,"2,497 cc (304마력)",24 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 K5 하이브리드 2.0 HEV 시그니처,,2023.11,"1,999 cc (152마력)",10 km,흰색,자동,가솔린 하이브리드,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 셀토스 1.6 가솔린 터보 2WD  프레스티지,,2024.01,"1,598 cc (177마력)",10 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,,2024.01,"1,598 cc (200마력)",10 km,흰색,자동,가솔린 하이브리드,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 K8 하이브리드 1.6 터보 HEV  시그니처,,2024.01,"1,598 cc (230마력)",10 km,흰색,자동,가솔린 하이브리드,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 2.5 터보 AWD  5인승,,2023.08,"2,497 cc (304마력)","2,900 km",검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV70 2.5 터보,,2023.06,"2,497 cc (304마력)","1,000 km",검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 더 올 뉴 G80 2.5 터보 AWD  스포츠팩,,2023.08,"2,497 cc (304마력)","2,500 km",흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대 3.5 가솔린 9인승 하이리무진 시그니처,,2024.01,"3,470 cc (294마력)",50 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 2.5 터보 AWD 5인승,,2023.11,"2,497 cc (304마력)",10 km,검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대 2.2 디젤 9인승 하이리무진 시그니처,,2023.07,"2,151 cc (202마력)",10 km,검정색,자동,디젤,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 더 올 뉴 G80 2.5 터보,,2023.09,"2,497 cc (304마력)",10 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대 3.5 가솔린 9인승 하이리무진 시그니처,,2023.08,"2,151 cc (294마력)",10 km,흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
현대 쏘나타 디 엣지 하이브리드 2.0 HEV  익스클루시브,,2024.01,"1,999 cc ()",10 km,흰색,자동,가솔린 하이브리드,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
현대 아이오닉5 롱레인지  익스클루시브,"3,400만원",2021.11,111 cc (217마력),"29,148 km",흰색,자동,전기,,,,,,,,,,,,,
KG모빌리티 티볼리 1.6 디젤 2WD TX,579만원,2016.03,"1,597 cc (115마력)","122,000 km",흰색,자동,디젤,0,0,0,1,1,0,0,0,0,1,,,
현대 그랜저HG 240 럭셔리,519만원,2012.02,"2,359 cc (201마력)","169,000 km",검정색,자동,가솔린,0,0,0,1,1,0,0,1,1,0,,,
현대 제네시스 DH  G330 AWD 프리미엄,"1,390만원",2015.03,"3,342 cc (282마력)","167,000 km",은색,자동,가솔린,1,0,1,1,1,1,1,1,1,0,전손: 0 , 6회, 침수분손 : 0 
현대 i40 살룬  2.0 디 스팩,790만원,2013.05,"1,999 cc (140마력)","133,000 km",청색,자동,가솔린,1,0,0,1,1,1,1,1,1,0,전손: 0 , 3회, 침수분손 : 0 
현대 제네시스  BH380 프레스티지 스페셜,"1,050만원",2013.01,"3,778 cc (334마력)","186,000 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 8회, 침수분손 : 0 
현대 제네시스  BH380 로얄 VIP 팩,590만원,2008.03,"3,778 cc (290마력)","184,000 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 23회, 침수분손 : 0 
현대 제네시스  BH380 로얄 VIP 팩,930만원,2011.05,"3,778 cc (334마력)","148,000 km",은색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 4회, 침수분손 : 0 
기아 더 뉴 K9  3.8 노블레스,"1,390만원",2017.07,"3,778 cc (334마력)","213,000 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 1회, 침수분손 : 0 
현대 디 올 뉴 그랜저  3.5 2WD 캘리그래피,"5,090만원",2022.12,"3,470 cc (300마력)","2,580 km",흰색 (세레니티 화이트 펄),자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 제네시스  BH330 프리미엄 다이나믹 에디션,"1,190만원",2013.1,"3,342 cc (300마력)","110,000 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
기아 올 뉴 카렌스  2.0 LPi 7인승 럭셔리,530만원,2013.05,"1,999 cc (154마력)","220,000 km",흰색,자동,LPG,0,1,0,1,1,1,1,0,0,0,전손: 0 , 6회, 침수분손 : 0 
현대 제네시스  BH330 프리미엄 스페셜 다이나믹 에디션,"1,390만원",2013.07,"3,342 cc (300마력)","116,000 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 7회, 침수분손 : 0 
현대 아이오닉5 스탠다드  영업용,"2,720만원",2021.11,111 cc (170마력),"92,564 km",흰색,자동,전기,,,,,,,,,,,,,
르노코리아 QM3 1.5 디젤 RE,439만원,2014.05,"1,461 cc (90마력)","152,000 km",진주투톤,자동,디젤,0,0,0,0,0,0,1,1,1,0,,,
현대 제네시스 DH  G330 프리미엄,"1,890만원",2015.05,"3,342 cc (282마력)","107,738 km",진회색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
제네시스 G90 1세대 3.8 AWD  럭셔리,,2021.01,"3,778 cc (315마력)","59,000 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
제네시스 더 올 뉴 G80 2.5 터보 AWD,,2021.04,"2,497 cc (304마력)","70,300 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
제네시스 G90 1세대 3.8 AWD  프레스티지,,2020.12,"3,778 cc (315마력)","59,000 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 더 뉴 그랜저  3.3 익스클루시브,,2022.03,"3,342 cc (290마력)","24,700 km",검정색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 더 뉴 그랜저 3.3 르블랑,,2022.11,"3,342 cc (290마력)","33,200 km",진회색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 더 K9  3.8 AWD 베스트 셀렉션Ⅱ,,2022.09,"3,778 cc (315마력)","43,300 km",녹색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 더 K9 3.8 AWD 베스트 셀렉션Ⅰ,,2023.04,"3,778 cc (315마력)","7,000 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
제네시스 더 올 뉴 G80 3.5 터보 AWD,,2021.06,"3,470 cc (380마력)","79,100 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
제네시스 G90 2세대 3.5 터보 e-S/C LWB AWD,,2022.09,"3,470 cc (380마력)","32,000 km",진청색,자동,가솔린 하이브리드,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
르노코리아 뉴 QM6 2.0 LPe 2WD  LE,,2020.12,"1,998 cc (140마력)","36,290 km",흰색,자동,LPG,0,1,0,1,1,0,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 YF쏘나타 2.0 VVT Y20 월드컵 스페셜 에디션,269만원,2010.09,"1,998 cc (165마력)","179,000 km",흰색,자동,가솔린,0,0,0,1,0,0,1,1,0,1,,,
르노코리아 뉴 SM3 1.6 LE,179만원,2011.06,"1,598 cc (112마력)","119,000 km",진주색,자동,가솔린,0,0,0,0,1,0,0,1,0,0,,,
현대 스타리아  2.2 디젤 라운지 9인승 4WD 인스퍼레이션,"5,500만원",2021.06,"2,199 cc (177마력)","20,000 km",검정색,자동,디젤,1,1,0,1,1,1,1,1,1,0,,,
현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승 모던,"1,740만원",2018.1,"2,497 cc (175마력)","101,012 km",남색,자동,디젤,0,0,0,1,1,1,1,0,1,0,,,
기아 더 뉴 레이 1.0 밴 고급형,830만원,2019.07,998 cc (78마력),"38,199 km",베이지색,자동,가솔린,0,0,0,1,0,0,1,0,0,0,,,
기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,800만원,2014.11,"2,199 cc (202마력)","266,051 km",검정색,자동,디젤,0,0,0,1,1,0,1,1,0,1,,,
기아 더 뉴 쏘렌토 2.0 디젤 4WD 프레스티지,"1,880만원",2019.12,"1,995 cc (186마력)","53,959 km",흰색,자동,디젤,0,1,0,1,1,0,1,1,1,0,,,
현대 포터2 냉동탑차,"1,860만원",2019.06,"2,497 cc ()","44,457 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,0,0,,,
현대 뉴 투싼ix 2.0 디젤 2WD 스마트 스페셜,"1,060만원",2015.04,"1,995 cc (184마력)","99,763 km",진회색,자동,디젤,0,1,0,1,1,0,1,1,0,1,,,
기아 모닝 어반 1.0 스탠다드,860만원,2020.07,998 cc (76마력),"61,597 km",빨간색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
기아 올 뉴 K7 2.4 프레스티지,"1,400만원",2016.1,"2,359 cc (190마력)","99,450 km",흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
현대 싼타페 더 프라임 2.0 디젤 2WD 프리미엄,"1,660만원",2016.08,"1,995 cc (186마력)","94,974 km",회색,자동,디젤,1,1,0,1,1,1,1,1,1,0,,,
현대 포터2 슈퍼캡 내장탑차 스마트,"1,900만원",2019.12,"2,497 cc (133마력)","38,663 km",흰색,자동,디젤,,,,,,,,,,,,,
기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,"1,860만원",2015.08,"2,199 cc (202마력)","85,029 km",진회색,자동,디젤,1,1,0,1,1,1,1,1,1,0,,,
현대 쏘나타 더 브릴리언트 2.0 모던,780만원,2013.04,"1,999 cc (172마력)","89,981 km",회색,자동,가솔린,0,0,0,1,1,0,1,1,0,1,,,
현대 그랜저HG 240 모던,"1,100만원",2014.06,"2,359 cc (190마력)","97,702 km",은색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
KG모빌리티 베리 뉴 티볼리 1.5 가솔린 2WD V3,"1,500만원",2020.08,"1,497 cc (163마력)","41,603 km",빨간색,자동,가솔린,0,1,0,1,1,0,1,1,1,0,,,
쉐보레 더 뉴 스파크 1.0 프리미어,860만원,2019.09,999 cc (75마력),"46,118 km",검정색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
현대 싼타페TM 2.0 디젤 2WD 프레스티지,"2,450만원",2018.11,"1,995 cc (186마력)","37,790 km",진회색,자동,디젤,0,1,1,1,1,1,1,1,1,0,,,
기아 뉴 쏘렌토R 2.0 디젤 2WD TLX,"1,060만원",2013.01,"1,995 cc (184마력)","99,132 km",은색,자동,디젤,0,1,0,1,1,0,1,1,1,0,,,
현대 그랜드스타렉스 2.5 디젤 왜건 11인승 2WD HVX VIP팩,"1,300만원",2015.03,"2,497 cc (175마력)","125,485 km",남색,자동,디젤,0,0,0,1,1,1,1,0,0,0,,,
현대 제네시스 DH G330 모던,"1,800만원",2015.01,"3,342 cc (282마력)","51,785 km",검정색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
기아 더 뉴 모닝 1.0 럭셔리,630만원,2015.07,998 cc (),"73,324 km",회색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
기아 K5 2세대 2.0 MX 럭셔리,"1,300만원",2018.01,"1,999 cc (168마력)","66,707 km",남색,자동,가솔린,0,0,0,1,1,0,1,0,0,1,,,
현대 그랜드스타렉스 2.5 디젤 왜건 12인승 2WD CVX 프리미엄,760만원,2012.06,"2,497 cc (175마력)","183,591 km",검정색,자동,디젤,0,0,0,1,1,1,1,0,0,1,,,
기아 봉고3 1.2톤 킹캡 초장축 프레스티지,980만원,2018.08,"2,497 cc (133마력)","140,005 km",청색,자동,디젤,0,0,0,1,1,0,1,0,0,0,,,
현대 그랜저HG 240 모던 컬렉션,"1,480만원",2016.12,"2,359 cc (190마력)","60,781 km",검정색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
현대 아반떼MD 1.6  M16 럭셔리,600만원,2012.06,"1,591 cc ()","80,650 km",은색,자동,가솔린,,,,,,,,,,,,,
현대 YF쏘나타 2.0 CVVL 프라임,600만원,2011.11,"1,998 cc (172마력)","82,131 km",진회색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
기아 올 뉴 모닝 1.0 럭셔리,360만원,2011.03,998 cc (),"141,882 km",빨간색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
현대 YF쏘나타 2.0 VVT Y20 프리미어 고급형,300만원,2010.01,"1,998 cc (165마력)","239,594 km",검정색,자동,가솔린,1,0,0,1,0,0,1,1,0,0,,,
현대 쏘나타 2.0 프리미엄,"1,760만원",2020.03,"1,999 cc (160마력)","72,732 km",진회색,자동,가솔린,0,1,0,1,1,0,1,1,0,0,,,
현대 그랜저HG 240 럭셔리,860만원,2012.11,"2,359 cc (201마력)","85,754 km",검정색,자동,가솔린,1,1,0,1,1,0,1,1,1,0,,,
현대 그랜드스타렉스 2.5 디젤 왜건 12인승 2WD CVX 럭셔리,"1,360만원",2014.11,"2,497 cc (175마력)","69,191 km",회색,자동,디젤,0,0,0,1,1,0,1,0,0,0,,,
기아 K9 3.8  프레스티지,739만원,2012.07,"3,778 cc (334마력)","181,000 km",진회색,자동,가솔린,1,0,0,1,1,1,1,1,1,0,,,
기아 뉴 쏘렌토R 2.0 디젤 2WD  럭셔리,679만원,2013.11,"1,995 cc (184마력)","161,000 km",진회색,자동,디젤,0,0,0,1,0,0,1,0,0,0,,,
현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,950만원,2017.11,"2,497 cc ()","194,000 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,1,0,전손: 0 , 3회, 침수분손 : 0 
르노코리아 QM3 1.5 디젤 LE,459만원,2014.05,"1,461 cc (90마력)","136,000 km",진주투톤,자동,디젤,0,0,0,0,1,0,1,1,1,0,,,
제네시스 GV80  3.0 디젤 AWD 7인승,"5,390만원",2020.03,"2,996 cc (278마력)","48,300 km",흰색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
현대 제네시스 DH G330 AWD 프리미엄,"1,169만원",2014.01,"3,342 cc (282마력)","120,000 km",진회색,자동,가솔린,1,0,1,1,1,1,1,1,1,0,,,
기아 더 뉴 K3  1.6 시그니처,"2,250만원",2021.07,"1,598 cc (123마력)",257 km,진청색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
기아 레이 1.0 프레스티지,670만원,2012.05,998 cc (78마력),"129,853 km",베이지색,자동,가솔린,0,0,0,1,1,0,1,1,0,1,,,
현대 쏘나타 하이브리드 2.0 HEV 프리미엄 밀레니얼,"2,590만원",2021.03,"1,999 cc (195마력)","63,621 km",흰색,자동,가솔린 하이브리드,0,1,0,1,1,1,1,1,1,0,,,
현대 더 뉴 그랜드스타렉스 2.5 디젤 캠핑카 2WD,"2,250만원",2018.04,"2,497 cc (175마력)","44,496 km",진청색,자동,디젤,0,0,0,1,1,0,1,0,1,0,,,
기아 K5 2.0 LPi   트렌디,"1,990만원",2020.06,"1,999 cc (146마력)","50,575 km",진청색,자동,LPG,1,0,0,1,1,1,1,1,1,0,,,
기아 K5 2.0  프레스티지,550만원,2011.02,"1,998 cc (165마력)","172,388 km",흰색,자동,가솔린,1,0,0,1,1,0,1,1,1,0,,,
기아 더 뉴 봉고3 킹캡  초장축 GL,"1,490만원",2020.08,"2,497 cc (133마력)","67,316 km",흰색,자동,디젤,0,0,0,1,1,1,1,0,0,1,,,
현대 포터2 CRDi 슈퍼캡 초장축 프리미엄,"1,600만원",2021.09,"2,497 cc ()","61,775 km",녹색,자동,디젤,0,0,0,1,1,0,1,0,0,0,,,
현대 디 올 뉴 그랜저  2.5 2WD 익스클루시브,"4,060만원",2023.06,"2,497 cc (198마력)","2,455 km",흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
현대 쏘나타 2.0 LPi  스마트,"1,290만원",2019.1,"1,999 cc (146마력)","72,621 km",흰색,자동,LPG,0,0,0,1,1,0,1,1,1,0,,,
현대 코나 1.6 가솔린 터보 2WD 모던 테크,"1,380만원",2018.03,"1,591 cc (177마력)","65,507 km",청색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  모던,990만원,2016.08,"2,497 cc (175마력)","184,243 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,1,0,,,
KG모빌리티 뉴 스타일 코란도 C  2.2 디젤 2WD RX ..,780만원,2017.06,"2,157 cc (178마력)","150,590 km",흰색,자동,디젤,0,0,0,1,1,1,1,1,0,1,,,
현대 포터2 슈퍼캡 내장탑차 스마트,"1,600만원",2018.08,"2,497 cc (133마력)","35,616 km",흰색,자동,디젤,0,0,0,1,1,0,0,0,1,0,,,
KG모빌리티 코란도 스포츠 2.0 디젤 4WD CX7 패션,850만원,2016.06,"1,998 cc (155마력)","159,387 km",진회색,자동,디젤,0,0,0,1,1,0,0,1,0,1,,,
기아 뉴모닝 1.0  SLX 고급형 블랙 프리미엄,200만원,2008.05,999 cc (64마력),"133,573 km",은색,자동,가솔린,0,0,0,1,1,0,1,0,0,1,,,
현대 포터2 CRDi 더블캡 초장축 프리미엄,"1,720만원",2020.05,"2,497 cc ()","52,006 km",흰색,자동,디젤,0,0,0,1,1,1,1,0,0,0,,,
현대 올 뉴 투싼 2.0 디젤 2WD 프리미엄,"1,580만원",2015.05,"1,995 cc (186마력)","92,614 km",흰색,자동,디젤,1,1,0,1,1,1,1,1,1,0,,,
제네시스 G90 1세대 3.8 AWD 프리미엄 럭셔리,"4,850만원",2020.07,"3,778 cc (315마력)","77,804 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
현대 포터2 시티밴,"2,200만원",2021.03,"2,497 cc ()","44,862 km",흰색,자동,디젤,0,0,0,1,0,0,1,0,0,1,,,
